customer_id,opt_in,birthday,gender,order_id,weather,order_timestamp,item_id,item_name,item_description,item_image,price,taste_profile,item_type,customization_id,customization
170,True,1997-11-14,male,390,snowy,2019-09-01 21:27:18,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,27,no onions
152,True,1999-11-14,male,1620,cloudy,2017-05-22 14:08:07,640405172,Double Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,3.79,savory,burger,47,no lettuce
186,True,1993-11-27,male,782,sunny,2019-01-16 04:50:55,640405172,Double Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,3.79,savory,burger,47,no lettuce
150,True,1994-03-07,female,1571,rainy,2019-06-19 00:30:29,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,25,no lettuce
40,True,2003-07-04,female,240,sunny,2020-07-08 23:50:39,640404963,Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.29,savory,burger,9,no mustard
46,True,1990-11-18,female,1841,cloudy,2019-12-02 14:50:30,640405172,Double Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,3.79,savory,burger,47,no lettuce
123,True,2002-02-15,male,1159,snowy,2020-08-20 07:43:06,640405025,Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,2.79,savory,burger,41,no onions
38,True,1990-01-21,male,1333,snowy,2018-03-26 00:15:40,640405112,Double Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.29,savory,burger,34,no onions
22,True,2002-05-10,female,1132,snowy,2016-06-09 22:10:25,640405058,Veggie Burger,Our veggie burger is fresh and delicious.,,2.49,healthy,burger,20,no onions
92,True,1992-01-24,female,334,snowy,2020-01-06 07:13:25,640405025,Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,2.79,savory,burger,40,no pickles
93,True,1994-01-08,female,925,rainy,2019-11-18 09:43:22,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,5,no pickles
110,True,1992-02-06,female,253,sunny,2018-10-23 04:51:23,640404963,Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.29,savory,burger,12,no pickles
127,True,2001-08-01,male,67,cloudy,2019-03-11 04:04:48,640405112,Double Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.29,savory,burger,30,no mustard
136,True,2001-11-26,male,558,rainy,2016-02-25 04:57:09,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,27,no onions
129,True,2002-09-16,female,126,snowy,2017-12-27 03:10:52,640405058,Veggie Burger,Our veggie burger is fresh and delicious.,,2.49,healthy,burger,18,no lettuce
164,True,2004-11-28,male,1885,cloudy,2016-04-27 02:06:12,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,23,no mustard
174,True,2005-11-12,male,979,sunny,2017-01-25 03:42:49,640404963,Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.29,savory,burger,12,no pickles
96,True,1993-11-19,female,1440,snowy,2016-06-20 14:34:09,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,2,no mustard
113,True,2001-01-19,other,88,cloudy,2017-04-18 15:04:18,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,3,no mayonnaise
10,True,1998-09-12,female,1472,sunny,2016-03-14 10:56:27,640404963,Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.29,savory,burger,12,no pickles
152,True,1999-11-14,male,1735,rainy,2016-06-08 18:37:13,640404963,Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.29,savory,burger,14,no tomatoes
165,True,2000-06-27,female,1136,sunny,2015-06-26 16:54:26,640405112,Double Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.29,savory,burger,35,no tomatoes
179,True,1990-02-09,other,1840,cloudy,2019-05-15 22:58:27,640405025,Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,2.79,savory,burger,37,no mustard
175,True,2005-03-03,female,12,cloudy,2015-06-01 01:30:07,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,3,no mayonnaise
12,True,1992-04-22,female,1657,cloudy,2020-01-23 11:28:21,640405025,Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,2.79,savory,burger,39,no lettuce
155,True,1995-10-20,female,1589,cloudy,2015-10-06 21:27:05,640405112,Double Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.29,savory,burger,30,no mustard
144,True,1999-04-21,male,1317,sunny,2017-03-04 14:01:03,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,5,no pickles
63,True,1992-03-03,female,1068,cloudy,2020-10-01 08:26:55,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,22,no ketchup
