customer_id,opt_in,birthday,gender
1,true,2001-12-18,female
2,true,1992-11-15,male
3,true,1996-7-4,female
4,true,2002-7-19,male
5,true,1992-4-24,other
6,true,2000-4-15,female
7,true,1993-8-23,male
8,true,1991-11-7,female
9,true,1995-3-16,male
10,true,1990-12-18,male
11,true,2002-5-23,male
12,true,2003-3-22,other
13,true,1993-11-19,female
14,true,2005-12-23,male
15,true,2005-4-13,other
16,true,1992-3-2,female
17,true,2001-6-23,male
18,true,2002-7-27,male
19,true,2003-11-1,male
20,true,1995-2-21,male
